"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1886","RT @planwac: #6D Diputados d la MUD no han aprobado un solo crédito para vivienda, pensiones, incremento salarial...pero quieren tu voto, p…",FALSE,0,NA,2015-11-19 23:55:11,FALSE,NA,"667491340041789440",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","giocondamendez1",32,TRUE,FALSE,NA,NA
"1887","RT @RogelioGonzalez: Si buscas a alguien que lleve tus problemas a la AN y regrese con soluciones vota por .@jonyrahal este #6D #ActivateCo…",FALSE,0,NA,2015-11-19 23:55:10,FALSE,NA,"667491335419637760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Eucarisblanco1",9,TRUE,FALSE,NA,NA
"1888","RT @CuatroFDigital: Somos pueblo guerrero de Bolívar y Chávez. El #6D será una victoria más para la Revolución #ConLosDeChavezMeResteo http…",FALSE,0,NA,2015-11-19 23:55:05,FALSE,NA,"667491314552979457",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yamilethromerov",38,TRUE,FALSE,NA,NA
"1889","Los venezolanos de verdad verdad #6D https://t.co/Cq3noqqPlD",FALSE,1,NA,2015-11-19 23:55:03,FALSE,NA,"667491307749642240",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","albanfernando",7,FALSE,FALSE,NA,NA
"1890","RT @PartidoPSUV: Pa' el que no entendió: El pueblo esta organizado para conquistar la victoria del #6D ¡Como Sea! https://t.co/8dZQBTY3s0",FALSE,0,NA,2015-11-19 23:55:02,FALSE,NA,"667491301378650112",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","solysbellagines",51,TRUE,FALSE,NA,NA
"1891","RT @GustavoAdolfoGP: El #6D los que queremos un cambio votaremos sin qmiedo por la tarjeta de la UNIDAD, abajo y a la izquierda. https://t.…",FALSE,0,NA,2015-11-19 23:55:01,FALSE,NA,"667491297532502016",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","richardunda",5,TRUE,FALSE,NA,NA
"1892","RT @puzkas: ""La Asamblea de Todos"" Este es uno de los videos de @politikaucab @lacatolica sobre #6D que CNE ordena retirar... 
https://t.co…",FALSE,0,NA,2015-11-19 23:54:57,FALSE,NA,"667491281615110144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nelsonhulett",50,TRUE,FALSE,NA,NA
"1893","Te vamos a DERROTAR el #6D @HernanJNunez #SucreQuiereCAMBIO",FALSE,0,NA,2015-11-19 23:54:57,FALSE,NA,"667491280113369088",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","ArmandilloV_",0,FALSE,FALSE,NA,NA
"1894","RT @psuv_ptocabello: Jóvenes morenses demostraron compromiso y lealtad con Chávez y @miriampsuv para el #6D #ConLosDeChavezMeResteo https:/…",FALSE,0,NA,2015-11-19 23:54:57,FALSE,NA,"667491279983517697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","leonaruizpined1",19,TRUE,FALSE,NA,NA
"1895","RT @jhonnathanmarin: Camaradas vamos a echarle corazón, fuerza, voluntad y disciplina para ganar el #6D como sea #ConLosDeChavezMeResteo ht…",FALSE,0,NA,2015-11-19 23:54:57,FALSE,NA,"667491279660449792",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","pchsluna",18,TRUE,FALSE,NA,NA
